"Freq [GHz]","dB(S(1,1)) []"
0.2,-0.0141353540063286
0.204,-0.0147746678980024
0.208,-0.0154325958326952
0.212,-0.0161095456785911
0.216,-0.0168059394621188
0.22,-0.0175222138230957
0.224,-0.0182588204891905
0.228,-0.0190162267704874
0.232,-0.0197949160751395
0.236,-0.0205953884468899
0.24,-0.02141816112557
0.244,-0.0222637691315002
0.248,-0.0231327658749339
0.252,-0.0240257237916284
0.256,-0.0249432350057628
0.26,-0.0258859120214549
0.264,-0.026854388444181
0.268,-0.0278493197335004
0.272,-0.0288713839885355
0.276,-0.0299212827677623
0.28,-0.0309997419447496
0.284,-0.0321075126014821
0.288,-0.033245371961181
0.292,-0.0344141243624361
0.296,-0.0356146022766803
0.3,-0.0368476673711342
0.304,-0.0381142116194344
0.308,-0.0394151584623046
0.312,-0.0407514640207384
0.316,-0.042124118364344
0.32,-0.0435341468375859
0.324,-0.0449826114468791
0.328,-0.0464706123116097
0.332,-0.0479992891823214
0.336,-0.0495698230295884
0.34,-0.0511834377071549
0.344,-0.0528414016932284
0.348,-0.0545450299140309
0.352,-0.0562956856538811
0.356,-0.0580947825564498
0.36,-0.0599437867219726
0.364,-0.061844218905578
0.368,-0.0637976568221847
0.372,-0.0658057375636881
0.376,-0.0678701601346092
0.38,-0.0699926881125911
0.384,-0.0721751524407268
0.388,-0.0744194543589315
0.392,-0.0767275684821173
0.396,-0.0791015460334212
0.4,-0.0815435182411742
0.404,-0.0840556999089075
0.408,-0.0866403931682616
0.412,-0.0892999914252594
0.416,-0.0920369835111106
0.42,-0.0948539580493634
0.424,-0.0977536080520826
0.428,-0.100738735758427
0.432,-0.103812257729986
0.436,-0.106977210218036
0.44,-0.110236754819058
0.444,-0.113594184435697
0.448,-0.117052929561787
0.452,-0.120616564910926
0.456,-0.12428881640979
0.46,-0.12807356857851
0.464,-0.1319748723221
0.468,-0.135996953158488
0.472,-0.140144219910508
0.476,-0.14442127389108
0.48,-0.148832918612779
0.484,-0.153384170055278
0.488,-0.158080267526376
0.492,-0.162926685154953
0.496,-0.167929144056806
0.5,-0.173093625217324
0.504,-0.178426383138083
0.508,-0.183933960297751
0.512,-0.189623202481546
0.516,-0.195501275037194
0.52,-0.201575680119737
0.524,-0.207854274992099
0.528,-0.214345291453222
0.532,-0.221057356470991
0.536,-0.227999514102848
0.54,-0.235181248793317
0.544,-0.242612510144355
0.548,-0.250303739261672
0.552,-0.258265896788134
0.556,-0.266510492743778
0.56,-0.27504961830123
0.564,-0.28389597963519
0.568,-0.29306293399558
0.572,-0.302564528165423
0.576,-0.312415539477303
0.58,-0.322631519575866
0.584,-0.333228841128606
0.588,-0.344224747703346
0.592,-0.355637407048076
0.596,-0.367485968027715
0.6,-0.379790621492844
0.604,-0.392572665377485
0.608,-0.405854574347079
0.612,-0.419660074343783
0.616,-0.434014222404455
0.62,-0.448943492157205
0.624,-0.464475865435577
0.628,-0.480640930485352
0.632,-0.497469987277818
0.636,-0.514996160485718
0.64,-0.533254520723575
0.644,-0.552282214703876
0.648,-0.572118605014038
0.652,-0.59280542027733
0.656,-0.614386916523717
0.66,-0.636910050664685
0.664,-0.66042466703974
0.668,-0.684983698081822
0.672,-0.71064338023495
0.676,-0.737463486350389
0.68,-0.765507575887866
0.684,-0.794843264356783
0.688,-0.82554251354918
0.692,-0.857681944242106
0.696,-0.891343173182822
0.7,-0.926613176316524
0.704,-0.96358468037368
0.708,-1.00235658510359
0.712,-1.04303441862341
0.716,-1.08573082854845
0.72,-1.13056611178111
0.724,-1.17766878606481
0.728,-1.22717620665536
0.732,-1.27923523172952
0.736,-1.33400294044019
0.74,-1.39164740784291
0.744,-1.45234854126311
0.748,-1.51629898305306
0.752,-1.58370508510667
0.756,-1.65478796096786
0.76,-1.72978462189378
0.764,-1.80894920382982
0.768,-1.8925542929352
0.772,-1.98089235808574
0.776,-2.07427729969904
0.78,-2.17304612530727
0.784,-2.27756076358299
0.788,-2.38821003004759
0.792,-2.50541175951786
0.796,-2.62961512253427
0.8,-2.76130314564039
0.804,-2.90099545852191
0.808,-3.04925129474816
0.812,-3.20667277725622
0.816,-3.37390852482278
0.82,-3.55165762156478
0.824,-3.74067399787242
0.828,-3.94177127778962
0.832,-4.15582815406445
0.836,-4.38379435669315
0.84,-4.62669728164669
0.844,-4.8856493399608
0.848,-5.16185606735441
0.852,-5.45662499079026
0.856,-5.77137516389295
0.86,-6.10764712963089
0.864,-6.46711279905729
0.868,-6.85158427042159
0.872,-7.26301982117392
0.876,-7.70352396249236
0.88,-8.17533617218911
0.884,-8.68079907163966
0.888,-9.22229029195582
0.892,-9.80209125378157
0.896,-10.422147592857
0.9,-11.0836454953482
0.904,-11.7862799957488
0.908,-12.5270215548506
0.912,-13.2981072547342
0.916,-14.0839585284261
0.92,-14.8569704709724
0.924,-15.5731084706943
0.928,-16.1705587866649
0.932,-16.5775027377912
0.936,-16.7334164575498
0.94,-16.6160861573474
0.944,-16.2533851408112
0.948,-15.7084916390941
0.952,-15.0525796593599
0.956,-14.3451377681801
0.96,-13.6277026780358
0.964,-12.9258798329783
0.968,-12.2538414245882
0.972,-11.6184179312358
0.976,-11.0220350077087
0.98,-10.464609172242
0.984,-9.94470547694567
0.988,-9.46022163811351
0.992,-9.00878255407522
0.996,-8.58796202207684
1,-8.19540279256703
1.004,-7.82887743390762
1.008,-7.48631513622127
1.012,-7.16580925816094
1.016,-6.86561431156862
1.02,-6.58413746870571
1.024,-6.31992754108274
1.028,-6.07166311425258
1.032,-5.83814077428689
1.036,-5.61826391987374
1.04,-5.41103239528553
1.044,-5.21553303023915
1.048,-5.03093108887104
1.052,-4.85646258522717
1.056,-4.69142740086876
1.06,-4.53518313179413
1.064,-4.38713959106113
1.068,-4.24675389677737
1.072,-4.11352608042619
1.076,-3.98699515659923
1.08,-3.86673560141859
1.084,-3.75235419287297
1.088,-3.64348717178021
1.092,-3.53979768704236
1.096,-3.44097349327233
1.1,-3.34672487276329
1.104,-3.25678275718521
1.108,-3.17089702737594
1.112,-3.08883497219443
1.116,-3.01037988966889
1.12,-2.93532981564564
1.124,-2.8634963668638
1.128,-2.79470368688026
1.132,-2.72878748457941
1.136,-2.66559415614748
1.14,-2.60497998239504
1.144,-2.54681039419249
1.148,-2.49095929955746
1.152,-2.43730846661616
1.156,-2.3857469572624
1.16,-2.33617060687111
1.164,-2.28848154589453
1.168,-2.24258775958835
1.172,-2.19840268248664
1.176,-2.15584482457647
1.18,-2.11483742641785
1.184,-2.07530814071913
1.188,-2.03718873811388
1.192,-2.00041483509665
1.196,-1.96492564226473
1.2,-1.93066373118347
1.204,-1.89757481834608
1.208,-1.86560756483619
1.212,-1.83471339042646
1.216,-1.80484630095839
1.22,-1.77596272794979
1.224,-1.74802137946823
1.228,-1.72098310139154
1.232,-1.69481074825191
1.236,-1.66946906292783
1.24,-1.64492456451059
1.244,-1.62114544372767
1.248,-1.5981014653571
1.252,-1.57576387711268
1.256,-1.5541053245231
1.26,-1.53309977136589
1.264,-1.51272242525281
1.268,-1.49294966799538
1.272,-1.47375899040839
1.276,-1.4551289312364
1.28,-1.43703901991249
1.284,-1.4194697228813
1.288,-1.40240239323873
1.292,-1.38581922345972
1.296,-1.36970320100277
1.3,-1.35403806659575
1.304,-1.3388082750222
1.308,-1.32399895824063
1.312,-1.30959589068172
1.316,-1.2955854565797
1.32,-1.28195461920451
1.324,-1.26869089187108
1.328,-1.2557823106109
1.332,-1.24321740839909
1.336,-1.230985190838
1.34,-1.21907511320505
1.344,-1.20747705877901
1.348,-1.19618131836515
1.352,-1.18517857094458
1.356,-1.17445986537889
1.36,-1.16401660310539
1.364,-1.15384052176275
1.368,-1.14392367969094
1.372,-1.13425844125309
1.376,-1.12483746293035
1.38,-1.11565368014389
1.384,-1.10670029476148
1.388,-1.09797076324866
1.392,-1.08945878542698
1.396,-1.08115829380454
1.4,-1.07306344344594
1.404,-1.06516860235095
1.408,-1.05746834231327
1.412,-1.04995743023235
1.416,-1.04263081985291
1.42,-1.03548364390865
1.424,-1.02851120664771
1.428,-1.02170897671909
1.432,-1.01507258040032
1.436,-1.00859779514794
1.44,-1.00228054345357
1.444,-0.996116886989078
1.448,-0.990103021025582
1.452,-0.984235269111901
1.456,-0.978510077998743
1.46,-0.972924012795948
1.464,-0.967473752350584
1.468,-0.962156084834668
1.472,-0.956967903531652
1.476,-0.951906202811696
1.48,-0.946968074286061
1.484,-0.942150703131703
1.488,-0.937451364577537
1.492,-0.932867420544337
1.496,-0.928396316430682
1.5,-0.924035578037803
1.504,-0.919782808626505
1.508,-0.915635686099803
1.512,-0.911591960305216
1.516,-0.907649450450859
1.52,-0.903806042630109
1.524,-0.900059687449485
1.528,-0.896408397755033
1.532,-0.892850246452505
1.536,-0.889383364416987
1.54,-0.88600593848785
1.544,-0.882716209545029
1.548,-0.879512470662985
1.552,-0.876393065338717
1.556,-0.873356385790535
1.56,-0.870400871324378
1.564,-0.867525006764618
1.568,-0.864727320946524
1.572,-0.862006385267625
1.576,-0.859360812295352
1.58,-0.856789254428523
1.584,-0.854290402610299
1.588,-0.851862985090405
1.592,-0.84950576623441
1.596,-0.847217545378158
1.6,-0.844997155725321
1.604,-0.842843463286288
1.608,-0.840755365856639
1.612,-0.838731792033532
1.616,-0.836771700268391
1.62,-0.834874077954448
1.624,-0.833037940547621
1.628,-0.831262330719394
1.632,-0.829546317540408
1.636,-0.827888995693431
1.64,-0.826289484714616
1.644,-0.824746928261832
1.648,-0.823260493408998
1.652,-0.821829369965398
1.656,-0.820452769818966
1.66,-0.819129926302609
1.664,-0.817860093582622
1.668,-0.816642546068391
1.672,-0.8154765778425
1.676,-0.814361502110487
1.68,-0.813296650669447
1.684,-0.812281373394816
1.688,-0.811315037744615
1.692,-0.810397028280453
1.696,-0.809526746204723
1.7,-0.808703608913329
1.704,-0.807927049563396
1.708,-0.807196516655371
1.712,-0.806511473629017
1.716,-0.805871398472757
1.72,-0.805275783345907
1.724,-0.804724134213281
1.728,-0.804215970491786
1.732,-0.803750824708507
1.736,-0.803328242169896
1.74,-0.802947780641692
1.744,-0.802609010039131
1.748,-0.802311512127132
1.752,-0.802054880230105
1.756,-0.801838718950979
1.76,-0.801662643899217
1.764,-0.801526281427454
1.768,-0.801429268376455
1.772,-0.801371251828125
1.776,-0.80135188886631
1.78,-0.801370846345057
1.784,-0.801427800664175
1.788,-0.801522437551773
1.792,-0.801654451853554
1.796,-0.801823547328696
1.8,-0.802029436452012
1.804,-0.802271840222247
1.808,-0.802550487976303
1.812,-0.802865117209123
1.816,-0.803215473399206
1.82,-0.803601309839363
1.824,-0.80402238747275
1.828,-0.804478474733847
1.832,-0.804969347394319
1.836,-0.805494788413564
1.84,-0.806054587793819
1.844,-0.806648542439662
1.848,-0.807276456021778
1.852,-0.807938138844874
1.856,-0.808633407719586
1.86,-0.80936208583824
1.864,-0.810124002654449
1.868,-0.810918993766268
1.872,-0.811746900802942
1.876,-0.81260757131506
1.88,-0.813500858668029
1.884,-0.81442662193879
1.888,-0.815384725815629
1.892,-0.81637504050106
1.896,-0.817397441617628
1.9,-0.818451810116571
1.904,-0.819538032189254
1.908,-0.82065599918132
1.912,-0.821805607509416
1.916,-0.822986758580483
1.92,-0.824199358713499
1.924,-0.825443319063642
1.928,-0.826718555548716
1.932,-0.828024988777933
1.936,-0.829362543982786
1.94,-0.830731150950138
1.944,-0.832130743957337
1.948,-0.833561261709363
1.952,-0.835022647277926
1.956,-0.836514848042501
1.96,-0.838037815633149
1.964,-0.839591505875199
1.968,-0.841175878735661
1.972,-0.842790898271322
1.976,-0.844436532578536
1.98,-0.846112753744581
1.984,-0.847819537800626
1.988,-0.849556864676174
1.992,-0.851324718155034
1.996,-0.8531230858327
2,-0.854951959075145
